sample_id,review_id,text,stars,llama_agg_pred_stars,llama_agg_reasoning,category,lr_pred_stars,lr_pred_confidence,svm_pred_stars,svm_pred_confidence,nb_pred_stars,nb_pred_confidence,bert_pred_stars,bert_pred_confidence
11,4TcwYcbSlHzxjvkigmJAWw,"Food was decent. Service was tragic & extremely rude. Our waiter was rude, acting as if every request was extremely out of line... ex. straws? eye roll from server. Pico? Eye roll from server. Napkins? Eye roll from server. Not a nice experience.",1,1,"Although all models agree on a 2-star rating, the text sentiment strongly indicates a very poor experience, with the service being described as 'tragic' and 'extremely rude', which warrants a lower rating. The models' agreement on a 2-star rating seems too generous given the reviewer's negative experience. Therefore, a 1-star rating is more fitting, reflecting the reviewer's dissatisfaction with the service.",override,2,0.3517972079142976,2,0.5171928585297034,2,0.3060724141115603,2,0.70703125
12,83XM85VJmoVT6Sce4nJn7g,"I was on vacation in Santa Barbara when the check engine light went on.  I take the car in and the service rep is very nice and personable, but he keeps using different words and phrases than I do and so I feel like communication isn't occurring well.  For example, I say ""the car didn't accelerate correctly at low speeds, but accelerated normally once it was going about 15-20 miles per hour.""  He repeats back ""Loss of power""...which I would interpret as the lights going out, or maybe as the car just not accelerating well at any speed.  In addition to the communication issues, when he gave me the paper record that I dropped my car off and they were inspecting it, the first item listed was ""brakes"", when we hadn't discussed brakes or braking at all.

Then, I had parked the car right inside the service area and he drove it about 20 feet forward, and when he gets out he makes a big deal about it being jerky/bouncy, when I hadn't noticed anything like that.

I dropped it off in the afternoon, so the next day I get tired of waiting for their call and give them a call about noon because I figured they could have managed to check the code by then.  I find out that the code was due to a sensor glitch and they drove the car and haven't had any more problems with that...but that I have a broken motor mount and that's why it vibrates so much.  I tell them to fix it and I'll pick it up the next day.

The next day I get tired of waiting in the late afternoon and give them a call, finding out they're almost done and I can head over.  When I start driving the car again I can't tell any difference in the way it drives from before I dropped it off.

So far that's not very different from experiences I've had with other car service departments, but as part of the routine inspection they reported all four of my practically new tires as having 5/32nds tread left...then I drove the car 200 miles and had the tires re-checked at an America's Tires as being 8/32nds.  Checking remaining tire tread is a trivial operation, so why the significant difference?  Did Santa Barbara Honda fail at checking the tires, did they give me the wrong inspection sheet, or were they trying to prepare me for buying tires sooner than I needed to just in case they might get that sale?  Now I wonder if maybe I didn't need to spend the extra hundreds of dollars on the motor mount.",2,2,"The review text expresses frustration with the service department's communication and inspection process, indicating a negative experience. While the majority of the models (LR, SVM, NB) agree on a 1-star rating, BERT's prediction of 2 stars with a relatively higher confidence suggests some nuance in the review. The customer's tone is critical but not entirely dissatisfied, which aligns with a 2-star rating, indicating a poor experience but not a complete failure.",override,1,0.3467477401532822,1,0.5030869036733553,1,0.5224684623381576,2,0.58203125
13,FAdkNS8QtxbUAuGxIPYLwQ,"Only after moving our belongings into our new house did we realize the previous owner's dogs had left the house full of urine and/or urine stains.  Our realtor recommended Zerorez for floor cleaning.  What a good decision!  They were timely, efficient, polite, and respectful of our belongings.  We would use the service again.",5,5,"The review text expresses a highly positive sentiment towards the service, mentioning that it was a good decision and that they would use it again. Although there is disagreement among the models, with BERT being the most confident in its prediction of 5 stars, the text evidence strongly supports a 5-star rating. The majority of the models, despite their disagreements, do not have high enough confidence to outweigh the clear positive sentiment expressed in the review.",edge,2,0.2254182320543283,4,0.2437180097055684,1,0.2667523597583365,5,0.55859375
14,4e6dP45SDUoD7wdJIEB97w,"I was from out of town, car broke down. It was Sunday and I didn't have time to hang around. I pulled in to Chapman, dropped my keys in a drop box with a note. I was called the next morning and Angel from service was very professional and kind. My car was returned to me three weeks later when I was back in town. My bill for all the communication and service? $0! Angel said that since he didn't need to sell me any parts just clean a dirty fuel chamber that there was no charge! Amazing experience! Thank you!",5,5,"The review text expresses a highly positive sentiment, praising the professionalism and kindness of the service staff, as well as the unexpected lack of charge for the service. BERT's prediction of 5 stars with high confidence aligns with this sentiment, while the other models disagree, likely due to their inability to capture the nuances of the text. Overall, the strong positive language in the review supports BERT's prediction, leading to a final rating of 5 stars.",override,1,0.3119119649743966,1,0.4907162726536449,1,0.3677725486365739,5,0.98046875
15,GO-hcdGvRPKcuq60Y5O8hA,The only bad thing I have to say is that they're not open on Sundays. Their sandwiches are amazing to the point that I couldn't tell you my favorite. The southwestern is always a good choice and you won't be disappointed with their gyros.,5,4,"The review text has a positive sentiment, praising the sandwiches and specific menu items, with only a minor complaint about Sunday hours. All four models, BERT, LR, SVM, and NB, agree on a 4-star rating, although their confidences vary, with BERT having the highest confidence. This consensus among the models supports the final star rating of 4.",error,4,0.2546419082922381,4,0.3507609568538926,4,0.2374495859850776,4,0.6484375
16,9GIKo7DgJKExHa1oPnKxyQ,"I visit Starbucks often and I get a regular hot mocha every time but at this location it always tasted gross. One time I opened the lid and it looked like grease at the top. I started feeling sick after I drank coffee from this location. Anyway, I don't visit this location anymore. The Starbucks on N McCarran is awesome though!",1,1,"The review text expresses strong negative sentiment towards the location, citing gross taste, greasy appearance, and health issues after consumption. Although all models predict a 2-star rating, their confidences are not overwhelmingly high, and the text's sentiment suggests a more severe rating is warranted, indicating model disagreement with the reviewer's strong negative experience. The final star rating is adjusted downwards to reflect the reviewer's extremely poor experience.",override,2,0.2581616690264354,2,0.3673765053196827,2,0.2676856900277505,2,0.70703125
17,kksX2-cjkxUtKJJclYLS3g,"I forgot my audio cord to use in my rental car, so I stopped here to pick one up before driving 3 hours south.  They had one, it was cheap and this girl was a happy driver.",4,5,"The review text expresses a positive sentiment, indicating a successful and pleasant experience at the store. Although the majority of the models, including LR, SVM, and NB, disagree with a 1-star prediction, BERT's higher confidence and the text's overall tone suggest a 5-star rating is more accurate. The disagreement among models highlights the importance of considering both text sentiment and model evidence in making a final decision.",error,1,0.287450259321138,1,0.4263750233695285,1,0.2953076013124543,5,0.671875
18,nEqxzZP2blRbfW06O58wcg,We got a balcony room so I knew there would be noise to deal with. Unfortunately we were also put in a room right next to the gym. I was rudely awoken before 8 am when the headboard started vibrating due to the machines next door. Do not stay on the second floor if you can help it.,2,1,"The review text expresses strong dissatisfaction with the hotel stay due to noise issues, which aligns with the low star rating predictions from all models. Although the confidence levels vary across models, BERT's high confidence and the unanimous agreement among the models support the final star rating of 1. The overall sentiment of the review text and the model consensus indicate a poor experience, justifying the lowest possible rating.",error,1,0.2894332412885979,1,0.4652906550822169,1,0.3283490772566141,1,0.91015625
19,EMmNZse2flT4EYcbiQDvYA,"Don't judge a book by its cover!! I used Uber eats and was so happy with our breakfast I wanted to know how I never heard of this delicious place before? Well it's in a motel downtown that's why lol. But that won't ever stop me from coming down for breakfast! Fresh squeezed OJ, banana walnut pancakes with blueberry compote, home fries, biscuits and gravy were like out of a Dream! I loved the gravy!! Do yourself a favor and order breakfast on Uber Eats!!! Loved this food.",5,5,"The review text expresses extremely positive sentiment towards the breakfast food, with the customer using phrases like 'delicious place' and 'out of a Dream'. Although the majority of the models (LR, SVM, NB) disagree with a 1-star prediction, their confidences are relatively low, whereas BERT's high confidence in a 5-star prediction aligns with the overwhelmingly positive text. The strong sentiment in the review text takes precedence over the model disagreement, leading to a final star rating of 5.",override,1,0.2302654107334156,1,0.2769662824907202,1,0.2197952854655518,5,0.88671875
20,LXfRaVTTRTHvDE-IEq1MaQ,"Mmmmmm smells like second hand smoke! 

Signed up for a player's card. There were 2 old, mean ladies working the counter. 

City Cafe had a good menu but it was packed at 11am on Saturday (my fault). Prices were good but not that low that I would come here for a special trip.",2,2,"The review text expresses strong negative sentiment with phrases like'smells like second hand smoke' and '2 old, mean ladies working the counter', which aligns with the BERT model's prediction of 2 stars. Although the other models, LR, SVM, and NB, predict 3 stars, their confidences are not high enough to outweigh the strong negative language used in the review. Overall, the BERT model's prediction is most consistent with the review text's sentiment.",override,3,0.4255286769788769,3,0.4971418693034377,3,0.2933632671131468,2,0.59375
21,g_fxxBdvnngq1wTKqp8APg,"Pros:
+ Gorgeous instagram-able photos
+ Must see attraction while you're in Philadelphia
+ Love statue
+ Gorgeous landmark
+ Bring your dates here for adorable photos",4,5,"The review text has a very positive sentiment, with the user listing multiple pros and using words like 'gorgeous' and'must see attraction'. All four models, BERT, LR, SVM, and NB, agree on a 5-star rating, with BERT, SVM, and LR having relatively high confidences, indicating a strong consensus. Overall, the consistent model predictions and the overwhelmingly positive review text support a 5-star final rating.",error,5,0.4010727834400804,5,0.6397707426992323,5,0.2823670847160305,5,0.640625
22,WmOfXEiRdv-Lfsirfvuuzw,"Something has changed in 2021. Last few visits the donuts weren't filled enough. Creme donuts which were great had barely any creme. Jelly donuts- couldn't taste any jelly.  Once during the week on a Wed or Thursday they tasted stale. 
Worst: when your waiting in line and in the middle  of ordering they answer the phone on YOUR TIME. 
Have someone else take phone orders instead of interrupting customers being waited on. 
This has happened to me enough that the next time it happens i am walking.",3,1,"The review text expresses strong dissatisfaction with the donuts and customer service, citing issues such as underfilled donuts, stale taste, and interruptions during ordering. Most models, including LR, SVM, and NB, agree on a 1-star rating, with BERT being the only outlier predicting a 2-star rating but with a relatively low confidence. The overall negative sentiment and model consensus lead to a final rating of 1 star.",error,1,0.2986040625011175,1,0.5006314646655422,1,0.3344095569427847,2,0.640625
23,-y-VSNhPBxdas41wQX5yJA,"This is New Orleans at its finest. Very broad selection of modestly priced wines, small plates superbly prepared, and great live music that doesn't inhibit intimate conversation. We left satiated and relaxed.",5,5,"The review text expresses a highly positive sentiment towards the establishment, highlighting its broad selection of wines, superbly prepared small plates, and great live music. The majority of the models, including BERT and SVM, agree on a 5-star rating, with BERT showing a high confidence level, while LR and NB suggest a 4-star rating but with lower confidence. Overall, the text sentiment and model evidence, particularly from BERT, support a 5-star final rating.",override,4,0.3412058902446031,5,0.4902238011583784,4,0.3196466209494909,5,0.95703125
24,_QvWDP2iDuC3K7J71ANIrg,We Always have fun here ...we never eat inside where the arcade is because the service is  terrible ...but all you have to do is go into the restaurant area and you will have great service and the food will be good too!!!,4,4,"The review text expresses a generally positive sentiment, highlighting great service and good food in the restaurant area, despite mentioning terrible service in the arcade area. Most models, including BERT, LR, and NB, agree on a 4-star rating, with BERT having the highest confidence, while SVM disagrees with a predicted 5-star rating but has a lower confidence. Overall, the majority model agreement and the mixed sentiment in the review text support a final rating of 4 stars.",consensus,4,0.2911404816719024,5,0.4283730282146296,4,0.2390353752756263,4,0.7109375
25,jHK0xKtQRc-Tic0HChJFHQ,"I went to the Rum Bar with a bunch of friends on a Saturday night and while the venue it's self is really, really small we definitely had a lot of fun. I enjoyed how the place changed from restaurant/bar into a bar/dance party! 
  Will say that I wouldn't necessarily have dinner here again, especially if you have a craving for good West Indian/Caribbean food!!! I ordered the chicken roti and got curried chicken with tortilla shells..definitely NOT what I was anticipating. I tried some of my other friends dishes and the overall flavor was just so-so. However, the drinks redeemed any salty feelings that I had toward the menu. There is a wide variety of rum drinks to choose from the bar tenders are not stingy when it come to the rum!  The overall atmosphere is really nice and the bartenders and wait staff are accommodating and pleasant!!! I would definitely recommend this place to go and have some good drinks and a good time and have all intentions of returning there myself!",3,4,"The review text expresses a generally positive sentiment towards the Rum Bar, highlighting the fun atmosphere, wide variety of rum drinks, and accommodating staff, despite some disappointment with the food. The model predictions show strong agreement, with all four models predicting a 4-star rating, although with varying confidences. Overall, the combination of the reviewer's positive comments and the model consensus supports a 4-star final rating.",error,4,0.3724279837980968,4,0.5105134141925637,4,0.3436479631363351,4,0.83203125
26,RFeLMNP13rC5kQfwoidhmQ,"Neat atmosphere, probably a decent place for drinks. I would say the food is reasonably priced but it is barely A Step Above Moe's.  Sides and fresh ingredients are decent but Meats are seriously overcooked. Fish tacos are nicely done except for the fact that they don't serve a nice creamy baja fish taco sauce with it. Major faux pas. Although everyone was very nice, ownership doesn't seem to care at all about customer service. They will walk around and pretend like they do but it's more of an insult then it is any sort of real customer service. True disappointment because if the meat through could properly and they had a baja fish sauce this place would be above par. But as it stands there's no need to return.",2,2,"The review text expresses significant disappointment with the food quality, particularly the overcooked meats and lack of proper sauce, despite a neat atmosphere and decent prices. Most models agree on a low rating, with BERT showing high confidence in a 2-star prediction, while the other models suggest a 3-star rating but with lower confidence. Overall, the text sentiment and BERT's strong evidence lead to a final rating of 2 stars.",override,3,0.3785440985179835,3,0.5625117584020782,3,0.3124026525258912,2,0.81640625
27,PDhn39XKrVbGnOkvx9KDNA,Change in staff and management has been for lack of better words different. Still a ok shop but not as good.,3,3,"The review text expresses a neutral sentiment, stating the shop is'still ok' but 'not as good', which aligns with a mid-range rating. Most models, including LR, SVM, and NB, agree on a 3-star rating, although with varying confidences, while BERT predicts a lower rating of 2 stars with moderate confidence. Overall, the majority model agreement and the text's neutral tone support a 3-star final rating.",consensus,3,0.4391837787732205,3,0.6136335698870575,3,0.3004891334409099,2,0.6171875
28,KlOd3pwCxjTnU-z-Yb2Mxg,"It's a generous two stars. 
I decided to give this company a try using a Groupon, but it wasn't much of a deal. First off, a 50 cookie minimum order for an event we were planning, and nearly three weeks of lead time needed to place and have the order shipped? Their website and payments aren't particularly easy to navigate, and shipping isn't included, so by the time you order the cookies, they're about $1 per piece, in my case, for a very basic cookie. They weren't worth it. 

The cookies did not arrive on time, and now we have 50 rather useless cookies that don't even taste that nice. I apparently missed filling in a field that wasn't required, but helpful, about when the event was supposed to be. That's how their customer service decided to approach their conversation with me when I simply asked to reuse the Groupon, if they wouldn't see fit to give me a refund. 

This would have a been a goodwill gesture that maybe would have cost them $20. But the company decided it would be easier to just lose me as a customer. There are plenty of other places that do something similar to this. The goal was to give a small business near us a chance rather than go with a big one. This was a big mistake.",2,1,"The review text expresses strong dissatisfaction with the company's services, including issues with ordering, shipping, and customer service, which supports a lower rating. Although BERT and LR models agree on a 2-star rating, SVM and NB models predict a 1-star rating, and the reviewer's negative experience and harsh criticism suggest that the lower rating is more accurate. Overall, the majority of the evidence, including the reviewer's sentiment and the disagreement among models, points towards a 1-star rating.",error,2,0.3374123370156728,1,0.3980206333486766,1,0.3774301962811801,2,0.94140625
29,1Qew9yNkImjNBwM5iEhyCA,"Really just not very good, and overpriced.  Although, in a pinch, it's healthier than most fast food restaurants (depending on what you get, of course).  Lines at lunchtime are looooong.  I miss Chipotle...",2,2,"The review text expresses a predominantly negative sentiment, with the reviewer stating that the restaurant is 'not very good' and 'overpriced', which aligns with the BERT model's prediction of 2 stars. Although the LR model disagrees with a prediction of 4 stars, the majority of the models, including SVM and NB, predict a mid-range rating, but the text's negative tone outweighs the slight positivity, leading to a final rating of 2 stars. The BERT model's higher confidence also supports this decision.",override,4,0.3140927504255076,3,0.4304097825707589,3,0.2979367167491235,2,0.7734375
30,Ks425H4kSYCYArKXphJQjg,"Everything I had here was fantastic, but the créeme brûlée was absolutely out of this world. Definitely worth going, even if it's just for that.",5,5,"The review text expresses extremely positive sentiment, with the reviewer using phrases such as 'fantastic' and 'out of this world' to describe their experience. The BERT model agrees with this assessment, predicting a 5-star rating with high confidence, while the other models are less confident and disagree on the rating. Overall, the strong text sentiment and BERT's confident prediction lead to a final rating of 5 stars.",edge,2,0.2892458306509259,3,0.4309735845443356,4,0.2217836876641101,5,0.9453125
31,3nhGx6zbuhURDWssyJtKOQ,"This temple was amazing and incredibly beautiful. It is awesome how peaceful a place you can find in the middle of the city like that. The temple is beautiful and there are other beautiful churches really close. It is a great stop between Rocky and downtown!
I'm not sure why that building to the side doesn't have some type of visitors center in it but I'm sure there is a good reason. :-)",5,5,"The review text expresses a highly positive sentiment towards the temple, describing it as amazing and beautiful. Although the majority of the models predict a 4-star rating, BERT's high confidence in a 5-star rating outweighs the others, and its assessment aligns with the overwhelmingly positive tone of the review. The disagreement among the models is noted, but the text's sentiment and BERT's strong confidence support a 5-star final rating.",override,4,0.3619640697799171,4,0.523962091585808,4,0.3022285561139219,5,0.8515625
32,EED0GJQcmCaoGtzvz-hgmA,Order from this location on a regular basis. They are 99% spot on with everything except the occasional forgetting of sauce. Other than that have no complaints. Pan pizzas are delicious with extra sauce!,5,4,"The review text expresses overall satisfaction with the location, mentioning that they are 99% spot on with their orders and that the pan pizzas are delicious. All four models, BERT, LR, SVM, and NB, agree on a 4-star rating, although their confidences vary, indicating a consensus on the positive sentiment of the review. The minor complaint about occasionally forgetting sauce does not seem to significantly impact the reviewer's overall experience, supporting the 4-star rating.",error,4,0.2420673040045157,4,0.3359959240526793,4,0.2301670367823872,4,0.546875
33,iFLk8Op_98-gINGI9ttT9w,"A.C.E.S. Roofing did an amazing job replacing out roof. They saved us almost $700.00 on our homeowners insurance by suggesting hurricane CLIPS.

They were prompt and very professional. I would recommend them every time!",5,5,"The review text expresses a strongly positive sentiment towards A.C.E.S. Roofing, highlighting their professionalism and cost-saving suggestions. All four models, including BERT, LR, SVM, and NB, agree on a 5-star rating, although their confidence levels vary, with BERT showing the highest confidence. Overall, the unanimous model agreement and glowing review text support a 5-star final rating.",consensus,5,0.4529418008394025,5,0.735938562498736,5,0.3307263602585878,5,0.97265625
